,tps = 35.8, map = 100,rpm = 3594, afr = 13.96, ECT = 80.3, gear = 3,tps = 35.8, map = 104,gx = -0.020, gy = -0.120, gz = 1.030
rpm = 3770, afr = 14.11, ECT = 80.3, gear = 3,tps = 40.2, map = 106,gx = -0.010, gy = -0.070, gz = 0.950
rpm = 3680, afr = 13.82, ECT = 80.3, gear = 3,tps = 41.9, map = 110,gx = -0.010, gy = -0.180, gz = 0.980
rpm = 3626, afr = 13.52, ECT = 80.3, gear = 3,tps = 42.1, map = 113,gx = 0.000, gy = -0.160, gz = 1.010
rpm = 3752, afr = 13.82, ECT = 80.3, gear = 3,tps = 49.2, map = 116,gx = -0.020, gy = -0.070, gz = 1.000
rpm = 3755, afr = 13.82, ECT = 80.4, gear = 3,tps = 58.5, map = 121,gx = -0.010, gy = -0.120, gz = 1.050
rpm = 3673, afr = 12.94, ECT = 80.4, gear = 3,tps = 60.9, map = 124,gx = -0.020, gy = -0.170, gz = 1.070
rpm = 3742, afr = 13.67, ECT = 80.4, gear = 3,tps = 61.4, map = 128,gx = -0.010, gy = -0.140, gz = 1.000
rpm = 3785, afr = 13.82, ECT = 80.4, gear = 3,tps = 65.8, map = 131,gx = -0.010, gy = -0.160, gz = 1.000
rpm = 3736, afr = 13.38, ECT = 80.4, gear = 3,tps = 67.5, map = 135,gx = -0.010, gy = -0.190, gz = 1.020
rpm = 3777, afr = 13.52, ECT = 80.4, gear = 3,tps = 67.7, map = 138,gx = -0.010, gy = -0.190, gz = 1.000
rpm = 3822, afr = 13.67, ECT = 80.4, gear = 3,tps = 68.0, map = 141,gx = 0.010, gy = -0.160, gz = 0.930
rpm = 3808, afr = 13.96, ECT = 80.4, gear = 3,tps = 68.4, map = 145,gx = 0.000, gy = -0.200, gz = 1.030
rpm = 3804, afr = 13.38, ECT = 80.4, gear = 3,tps = 68.6, map = 149,gx = 0.020, gy = -0.250, gz = 0.990
rpm = 3857, afr = 13.67, ECT = 80.4, gear = 3,tps = 68.8, map = 152,gx = -0.040, gy = -0.190, gz = 0.910
rpm = 3861, afr = 13.52, ECT = 80.4, gear = 3,tps = 68.9, map = 156,gx = -0.010, gy = -0.190, gz = 0.840
rpm = 3851, afr = 13.08, ECT = 80.4, gear = 3,tps = 68.9, map = 160,gx = 0.000, gy = -0.160, gz = 0.760
rpm = 3905, afr = 13.38, ECT = 80.4, gear = 3,tps = 69.0, map = 163,gx = -0.020, gy = -0.190, gz = 0.770
rpm = 3926, afr = 12.94, ECT = 80.4, gear = 3,tps = 69.0, map = 167,gx = -0.040, gy = -0.160, gz = 0.920
rpm = 3915, afr = 12.64, ECT = 80.4, gear = 3,tps = 69.1, map = 171,gx = -0.020, gy = -0.230, gz = 1.010
rpm = 3958, afr = 12.79, ECT = 80.4, gear = 3,tps = 69.2, map = 175,gx = -0.030, gy = -0.280, gz = 1.070
rpm = 3985, afr = 12.35, ECT = 80.4, gear = 3,tps = 69.4, map = 178,gx = -0.030, gy = -0.250, gz = 1.110
rpm = 3977, afr = 12.49, ECT = 80.4, gear = 3,tps = 69.7, map = 182,gx = -0.020, gy = -0.260, gz = 1.040
rpm = 4008, afr = 12.49, ECT = 80.5, gear = 3,tps = 70.0, map = 185,gx = -0.030, gy = -0.250, gz = 0.980
rpm = 4048, afr = 12.05, ECT = 80.4, gear = 3,tps = 70.4, map = 189,gx = -0.020, gy = -0.230, gz = 0.930
rpm = 4049, afr = 12.20, ECT = 80.5, gear = 3,tps = 70.8, map = 193,gx = -0.050, gy = -0.270, gz = 0.920
rpm = 4071, afr = 12.49, ECT = 80.4, gear = 3,tps = 71.1, map = 197,gx = -0.050, gy = -0.270, gz = 0.920
rpm = 4107, afr = 12.20, ECT = 80.5, gear = 3,tps = 71.4, map = 200,gx = -0.010, gy = -0.280, gz = 0.900
rpm = 4134, afr = 12.05, ECT = 80.5, gear = 3,tps = 71.7, map = 204,gx = -0.030, gy = -0.320, gz = 0.970
rpm = 4146, afr = 12.49, ECT = 80.4, gear = 3,tps = 71.8, map = 207,gx = -0.050, gy = -0.340, gz = 1.000
rpm = 4182, afr = 12.20, ECT = 80.5, gear = 3,tps = 71.9, map = 211,gx = -0.030, gy = -0.310, gz = 1.020
rpm = 4197, afr = 12.20, ECT = 80.5, gear = 3gx = -0.040, gy = -0.310, gz = 1.030
,tps = 72.1, map = 214,rpm = 4224, afr = 12.20, ECT = 80.5, gear = 3,tps = 72.1, map = 217,gx = -0.040, gy = -0.330, gz = 1.000
rpm = 4251, afr = 12.05, ECT = 80.5, gear = 3,tps = 72.2, map = 220,gx = -0.040, gy = -0.340, gz = 1.000
rpm = 4278, afr = 12.05, ECT = 80.5, gear = 3,tps = 72.3, map = 223,gx = -0.030, gy = -0.330, gz = 0.990
rpm = 4280, afr = 11.91, ECT = 80.5, gear = 3,tps = 72.3, map = 226,gx = -0.050, gy = -0.340, gz = 0.950
rpm = 4331, afr = 11.76, ECT = 80.5, gear = 3,tps = 72.3, map = 228,gx = -0.020, gy = -0.340, gz = 0.920
rpm = 4361, afr = 11.76, ECT = 80.5, gear = 3,tps = 72.4, map = 230,gx = -0.030, gy = -0.340, gz = 0.990
rpm = 4361, afr = 11.76, ECT = 80.5, gear = 3,tps = 72.4, map = 232,gx = -0.040, gy = -0.350, gz = 0.960
rpm = 4398, afr = 11.91, ECT = 80.5, gear = 3,tps = 72.4, map = 234,gx = 0.000, gy = -0.400, gz = 0.960
rpm = 4431, afr = 11.47, ECT = 80.5, gear = 3,tps = 72.4, map = 235,gx = -0.010, gy = -0.370, gz = 0.960
rpm = 4456, afr = 11.61, ECT = 80.6, gear = 3,tps = 72.4, map = 236,gx = 0.000, gy = -0.360, gz = 1.030
rpm = 4479, afr = 11.61, ECT = 80.5, gear = 3,tps = 72.4, map = 237,gx = -0.020, gy = -0.390, gz = 0.960
rpm = 4518, afr = 11.47, ECT = 80.6, gear = 3,tps = 72.4, map = 238,gx = -0.040, gy = -0.390, gz = 0.920
rpm = 4544, afr = 11.61, ECT = 80.6, gear = 3,tps = 72.3, map = 238,gx = 0.000, gy = -0.350, gz = 0.970
rpm = 4546, afr = 11.61, ECT = 80.6, gear = 3,tps = 72.3, map = 238,gx = 0.010, gy = -0.300, gz = 0.920
rpm = 4603, afr = 11.61, ECT = 80.6, gear = 3,tps = 72.3, map = 238,gx = 0.020, gy = -0.310, gz = 0.880
rpm = 4614, afr = 11.47, ECT = 80.6, gear = 3,tps = 72.2, map = 238,gx = -0.030, gy = -0.290, gz = 0.790
rpm = 4636, afr = 11.61, ECT = 80.6, gear = 3,tps = 72.1, map = 238,gx = -0.030, gy = -0.390, gz = 0.760
rpm = 4684, afr = 11.47, ECT = 80.6, gear = 3,tps = 72.1, map = 238,gx = -0.020, gy = -0.320, gz = 0.890
rpm = 4702, afr = 11.47, ECT = 80.6, gear = 3,tps = 72.0, map = 238,gx = -0.040, gy = -0.350, gz = 0.980
rpm = 4716, afr = 11.17, ECT = 80.7, gear = 3,tps = 72.0, map = 238,gx = -0.040, gy = -0.400, gz = 1.060
rpm = 4750, afr = 11.47, ECT = 80.7, gear = 3,tps = 72.0, map = 238,gx = -0.020, gy = -0.340, gz = 1.050
rpm = 4773, afr = 11.32, ECT = 80.7, gear = 3,tps = 72.0, map = 238,gx = -0.020, gy = -0.260, gz = 1.100
rpm = 4797, afr = 11.32, ECT = 80.7, gear = 3,tps = 72.0, map = 237,gx = -0.050, gy = -0.320, gz = 1.030
rpm = 4814, afr = 11.32, ECT = 80.7, gear = 3,tps = 72.0, map = 237,gx = -0.050, gy = -0.380, gz = 1.010
rpm = 4863, afr = 11.02, ECT = 80.7, gear = 3,tps = 72.0, map = 237,gx = 0.020, gy = -0.360, gz = 0.990
rpm = 4877, afr = 11.17, ECT = 80.7, gear = 3,tps = 72.0, map = 236,gx = 0.010, gy = -0.360, gz = 0.980
rpm = 4894, afr = 11.17, ECT = 80.7, gear = 3,tps = 71.9, map = 236,gx = -0.030, gy = -0.420, gz = 0.920
rpm = 4946, afr = 11.32, ECT = 80.8, gear = 3,tps = 71.9, map = 236,gx = -0.010, gy = -0.350, gz = 0.950
rpm = 4952, afr = 11.17, ECT = 80.8, gear = 3,tps = 71.9, map = 236,gx = -0.010, gy = -0.340, gz = 0.930
rpm = 4963, afr = 11.32, ECT = 80.8, gear = 3,tps = 71.2, map = 235,gx = -0.010, gy = -0.310, gz = 1.000
rpm = 5004, afr = 11.32, ECT = 80.8, gear = 3,tps = 52.0, map = 234,gx = -0.030, gy = -0.340, gz = 0.950
rpm = 4978, afr = 10.88, ECT = 80.8, gear = 3gx = 0.010, gy = -0.360, gz = 0.980
,tps = 15.7, map = 207,rpm = 4638, afr = 9.70, ECT = 80.6, gear = 3,tps = 0.7, map = 111,gx = 0.000, gy = -0.220, gz = 0.970
